Nimi	ISIN	Valuutta	Näkemys	Kohde-etuus	Vipu	Korkea riski		Osto	Myynti	Vaihto
"BULL NQ100 X20 NORDNET FI97"	"DE000JZ7WC30"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,1"	"19,95"	"19,97"	"3980"
"BEAR NQ100 X20 NORDNET FI69"	"DE000JZ7PQ82"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"0,14"	"7,25"	"7,26"	"1994,72"
"BULL NQ100 X12 NORDNET FI94"	"DE000JZ7QSJ3"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,05"	"113,24"	"113,3"	"1802,72"
"BULL NQ100 X8 NORDNET FI101"	"DE000JZ7VE05"	"EUR"	"Long"	"NASDAQ 100 Index"	"8"	Ei	"0,03"	"638,56"	"638,76"	"1272,76"
"BULL NQ100 X9 NORDNET FI105"	"DE000JZ7WC14"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,05"	"628,34"	"628,64"	"1251,8"
"BULL NQ100 X10 NORDNET FI88"	"DE000JZ6ZLK9"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,05"	"610,84"	"611,14"	"608,77"
"BULL NQ100 X12 NORDNET FI87"	"DE000JZ68XZ9"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,05"	"565,82"	"566,12"	"564,48"
"BEAR NQ100 X2 NORDNET FI2"	"DE000JU2BBM1"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,01"	"87,16"	"87,17"	"0"
"BEAR NQ100 X2 NORDNET FI22"	"DE000JU19MY9"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,08"	"13,08"	"13,09"	"0"
"BEAR NQ100 X2 NORDNET FI23"	"DE000JU2BBJ7"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,06"	"17,44"	"17,45"	"0"
"BEAR NQ100 X2 NORDNET FI25"	"DE000JU2BBP4"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,11"	"8,72"	"8,73"	"0"
"BEAR NQ100 X2 NORDNET FI40"	"DE000JU2BBS8"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,23"	"4,36"	"4,37"	"0"
"BEAR NQ100 X2 NORDNET FI76"	"DE000JZ6TAD0"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,03"	"418,18"	"418,3"	"0"
"BEAR NQ100 X2 NORDNET FI84"	"DE000JZ6V4C9"	"EUR"	"Short"	"NASDAQ 100 Index"	"2"	Ei	"0,01"	"167,34"	"167,36"	"0"
"BEAR NQ100 X3 NORDNET FI19"	"DE000JU2BBT6"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,08"	"12,01"	"12,02"	"0"
"BEAR NQ100 X3 NORDNET FI36"	"DE000JU2BBW0"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,06"	"16"	"16,01"	"0"
"BEAR NQ100 X3 NORDNET FI42"	"DE000JU2BBV2"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,01"	"80,01"	"80,02"	"0"
"BEAR NQ100 X3 NORDNET FI48"	"DE000JU2BBU4"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,12"	"8"	"8,01"	"0"
"BEAR NQ100 X3 NORDNET FI65"	"DE000JU2BBZ3"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,25"	"4"	"4,01"	"0"
"BEAR NQ100 X3 NORDNET FI85"	"DE000JZ7PPN3"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,01"	"150,85"	"150,87"	"0"
"BEAR NQ100 X3 NORDNET FI88"	"DE000JZ7VEY2"	"EUR"	"Short"	"NASDAQ 100 Index"	"3"	Ei	"0,02"	"376,9"	"376,96"	"0"
"BEAR NQ100 X4 NORDNET FI10"	"DE000JU2CHS3"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,09"	"10,9"	"10,91"	"0"
"BEAR NQ100 X4 NORDNET FI13"	"DE000JU2CHU9"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,07"	"14,54"	"14,55"	"0"
"BEAR NQ100 X4 NORDNET FI41"	"DE000JU2CHW5"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,14"	"7,27"	"7,28"	"0"
"BEAR NQ100 X4 NORDNET FI53"	"DE000JU2CJ09"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,27"	"3,63"	"3,64"	"0"
"BEAR NQ100 X4 NORDNET FI62"	"DE000JU2CHT1"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,03"	"72,67"	"72,69"	"0"
"BEAR NQ100 X4 NORDNET FI77"	"DE000JZ68YF9"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,02"	"134,61"	"134,64"	"0"
"BEAR NQ100 X4 NORDNET FI79"	"DE000JZ7PP83"	"EUR"	"Short"	"NASDAQ 100 Index"	"4"	Ei	"0,02"	"336,25"	"336,32"	"0"
"BEAR NQ100 X5 NORDNET FI1"	"DE000JU2CJ41"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,03"	"64,62"	"64,64"	"0"
"BEAR NQ100 X5 NORDNET FI7"	"DE000JU2CJ33"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,15"	"6,47"	"6,48"	"0"
"BEAR NQ100 X5 NORDNET FI12"	"DE000JU2CJ66"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,08"	"12,92"	"12,93"	"0"
"BEAR NQ100 X5 NORDNET FI58"	"DE000JU2CJ58"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,1"	"9,7"	"9,71"	"0"
"BEAR NQ100 X5 NORDNET FI60"	"DE000JU2CJ25"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,31"	"3,23"	"3,24"	"0"
"BEAR NQ100 X5 NORDNET FI78"	"DE000JZ7H7C9"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,03"	"117,75"	"117,78"	"0"
"BEAR NQ100 X5 NORDNET FI83"	"DE000JZ63PH4"	"EUR"	"Short"	"NASDAQ 100 Index"	"5"	Ei	"0,06"	"294,18"	"294,36"	"0"
"BEAR NQ100 X6 NORDNET FI3"	"DE000JU2E871"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,36"	"2,76"	"2,77"	"0"
"BEAR NQ100 X6 NORDNET FI15"	"DE000JU2E863"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,18"	"5,53"	"5,54"	"0"
"BEAR NQ100 X6 NORDNET FI28"	"DE000JU2E7Z9"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,09"	"11,05"	"11,06"	"0"
"BEAR NQ100 X6 NORDNET FI35"	"DE000JU2E897"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,12"	"8,29"	"8,3"	"0"
"BEAR NQ100 X6 NORDNET FI49"	"DE000JU2E830"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,04"	"55,23"	"55,25"	"0"
"BEAR NQ100 X6 NORDNET FI66"	"DE000JZ63PF8"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,03"	"248,15"	"248,23"	"0"
"BEAR NQ100 X6 NORDNET FI74"	"DE000JZ7H746"	"EUR"	"Short"	"NASDAQ 100 Index"	"6"	Ei	"0,03"	"99,36"	"99,39"	"0"
"BEAR NQ100 X7 NORDNET FI4"	"DE000JU2E8D4"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,41"	"2,41"	"2,42"	"0"
"BEAR NQ100 X7 NORDNET FI16"	"DE000JU2E8C6"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,1"	"9,65"	"9,66"	"0"
"BEAR NQ100 X7 NORDNET FI24"	"DE000JU19N09"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,14"	"7,24"	"7,25"	"0"
"BEAR NQ100 X7 NORDNET FI51"	"DE000JU19N33"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,04"	"48,22"	"48,24"	"0"
"BEAR NQ100 X7 NORDNET FI64"	"DE000JU19MZ6"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,21"	"4,83"	"4,84"	"0"
"BEAR NQ100 X7 NORDNET FI72"	"DE000JZ68X85"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,04"	"85,42"	"85,45"	"0"
"BEAR NQ100 X7 NORDNET FI81"	"DE000JZ7VEE4"	"EUR"	"Short"	"NASDAQ 100 Index"	"7"	Ei	"0,04"	"213,26"	"213,34"	"0"
"BEAR NQ100 X8 NORDNET FI5"	"DE000JU19ND1"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,48"	"2,07"	"2,08"	"0"
"BEAR NQ100 X8 NORDNET FI21"	"DE000JU19NA7"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,24"	"4,15"	"4,16"	"0"
"BEAR NQ100 X8 NORDNET FI31"	"DE000JU19N90"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,05"	"41,46"	"41,48"	"0"
"BEAR NQ100 X8 NORDNET FI33"	"DE000JU19N82"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,12"	"8,29"	"8,3"	"0"
"BEAR NQ100 X8 NORDNET FI38"	"DE000JU19N74"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,16"	"6,22"	"6,23"	"0"
"BEAR NQ100 X8 NORDNET FI68"	"DE000JZ63XM8"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,04"	"72,37"	"72,4"	"0"
"BEAR NQ100 X8 NORDNET FI86"	"DE000JZ7WB56"	"EUR"	"Short"	"NASDAQ 100 Index"	"8"	Ei	"0,04"	"180,64"	"180,72"	"0"
"BEAR NQ100 X9 NORDNET FI9"	"DE000JU2BC31"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,06"	"35,2"	"35,22"	"0"
"BEAR NQ100 X9 NORDNET FI11"	"DE000JU19NH2"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,14"	"7,04"	"7,05"	"0"
"BEAR NQ100 X9 NORDNET FI46"	"DE000JU2BC49"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,19"	"5,28"	"5,29"	"0"
"BEAR NQ100 X9 NORDNET FI54"	"DE000JU2BC56"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,28"	"3,52"	"3,53"	"0"
"BEAR NQ100 X9 NORDNET FI61"	"DE000JU2BC72"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,56"	"1,76"	"1,77"	"0"
"BEAR NQ100 X9 NORDNET FI89"	"DE000JZ6V400"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,05"	"60,58"	"60,61"	"0"
"BEAR NQ100 X9 NORDNET FI95"	"DE000JZ7VDU2"	"EUR"	"Short"	"NASDAQ 100 Index"	"9"	Ei	"0,05"	"151,21"	"151,28"	"0"
"BEAR NQ100 X10 NORDNET FI32"	"DE000JU2BCB2"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,68"	"1,47"	"1,48"	"0"
"BEAR NQ100 X10 NORDNET FI34"	"DE000JU2BCG1"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,07"	"29,44"	"29,46"	"0"
"BEAR NQ100 X10 NORDNET FI43"	"DE000JU2BCC0"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,23"	"4,41"	"4,42"	"0"
"BEAR NQ100 X10 NORDNET FI47"	"DE000JU2BCF3"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,17"	"5,89"	"5,9"	"0"
"BEAR NQ100 X10 NORDNET FI52"	"DE000JU2BCH9"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,34"	"2,95"	"2,96"	"0"
"BEAR NQ100 X10 NORDNET FI73"	"DE000JZ7PQA8"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,06"	"124,69"	"124,76"	"0"
"BEAR NQ100 X10 NORDNET FI94"	"DE000JZ6V3T5"	"EUR"	"Short"	"NASDAQ 100 Index"	"10"	Kyllä	"0,06"	"50"	"50,03"	"0"
"BEAR NQ100 X12 NORDNET FI8"	"DE000JU2BCL1"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,25"	"4,01"	"4,02"	"0"
"BEAR NQ100 X12 NORDNET FI14"	"DE000JU2BCK3"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,1"	"20,06"	"20,08"	"0"
"BEAR NQ100 X12 NORDNET FI20"	"DE000JU2CJD1"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,5"	"2,01"	"2,02"	"0"
"BEAR NQ100 X12 NORDNET FI55"	"DE000JU2CJH2"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,33"	"3,01"	"3,02"	"0"
"BEAR NQ100 X12 NORDNET FI56"	"DE000JU2CJE9"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,99"	"1"	"1,01"	"0"
"BEAR NQ100 X12 NORDNET FI75"	"DE000JZ68Y50"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,06"	"82,74"	"82,79"	"0"
"BEAR NQ100 X12 NORDNET FI90"	"DE000JZ7WC22"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,06"	"33,18"	"33,2"	"0"
"BEAR NQ100 X12 NORDNET FI92"	"DE000JZ68XK1"	"EUR"	"Short"	"NASDAQ 100 Index"	"12"	Kyllä	"0,06"	"16,61"	"16,62"	"0"
"BEAR NQ100 X15 NORDNET FI27"	"DE000JU2CJP5"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"0,7"	"1,42"	"1,43"	"0"
"BEAR NQ100 X15 NORDNET FI39"	"DE000JU2CJT7"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"0,52"	"1,9"	"1,91"	"0"
"BEAR NQ100 X15 NORDNET FI45"	"DE000JU2CJJ8"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"2,08"	"0,47"	"0,48"	"0"
"BEAR NQ100 X15 NORDNET FI59"	"DE000JU2CJR1"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"0,11"	"9,5"	"9,51"	"0"
"BEAR NQ100 X15 NORDNET FI63"	"DE000JU2CJN0"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"1,04"	"0,95"	"0,96"	"0"
"BEAR NQ100 X15 NORDNET FI70"	"DE000JZ7VEM7"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"0,18"	"37,81"	"37,88"	"0"
"BEAR NQ100 X15 NORDNET FI82"	"DE000JZ6S9M2"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"0,07"	"15,17"	"15,18"	"0"
"BEAR NQ100 X15 NORDNET FI87"	"DE000JZ7QR98"	"EUR"	"Short"	"NASDAQ 100 Index"	"15"	Kyllä	"0,13"	"7,59"	"7,6"	"0"
"BEAR NQ100 X18 NORDNET FI17"	"DE000JU2E8L7"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"0,25"	"3,93"	"3,94"	"0"
"BEAR NQ100 X18 NORDNET FI26"	"DE000JU2E8N3"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"1,25"	"0,79"	"0,8"	"0"
"BEAR NQ100 X18 NORDNET FI30"	"DE000JU2E8H5"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"0"	"0"	"0"	"0"
"BEAR NQ100 X18 NORDNET FI50"	"DE000JU2E8K9"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"2,5"	"0,39"	"0,4"	"0"
"BEAR NQ100 X18 NORDNET FI57"	"DE000JU2CJU5"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"1,67"	"0,59"	"0,6"	"0"
"BEAR NQ100 X18 NORDNET FI67"	"DE000JZ7H779"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"0,33"	"3,05"	"3,06"	"0"
"BEAR NQ100 X18 NORDNET FI91"	"DE000JZ6ZLB8"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"0,13"	"15,21"	"15,23"	"0"
"BEAR NQ100 X18 NORDNET FI93"	"DE000JZ7WBP4"	"EUR"	"Short"	"NASDAQ 100 Index"	"18"	Kyllä	"0,16"	"6,09"	"6,1"	"0"
"BEAR NQ100 X20 NORDNET FI6"	"DE000JU2E8W4"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"0"	"0"	"0"	"0"
"BEAR NQ100 X20 NORDNET FI18"	"DE000JU2E8S2"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"0"	"0,096"	"0"	"0"
"BEAR NQ100 X20 NORDNET FI29"	"DE000JU2E8U8"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"0,52"	"1,91"	"1,92"	"0"
"BEAR NQ100 X20 NORDNET FI44"	"DE000JU2E8Q6"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"2,56"	"0,38"	"0,39"	"0"
"BEAR NQ100 X20 NORDNET FI71"	"DE000JZ6S9F6"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"0,68"	"1,46"	"1,47"	"0"
"BEAR NQ100 X20 NORDNET FI80"	"DE000JZ6TA95"	"EUR"	"Short"	"NASDAQ 100 Index"	"20"	Kyllä	"0,34"	"2,92"	"2,93"	"0"
